o	n	s	s	n	s	n	n	n	n	n	n	s
60021101	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	1-3队长展示2
60060001	1	aside_1	func	EndPose;anim_id=45;pos_name=hero_lose;show_hero_num=1;	0	0	0	0	0	0	0	1-3战斗失败
60060001	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	1-3队长展示2
60030004	1	aside_1	func	BeginAnim;lookat=2;3;easeInOut	0	0	0	0	0	0	0	2-1开场角色展示
60021007	1	aside_1	func	BossDead;350;2000	0	0	0	0	0	0	0	2-1BOSS死亡慢动作
60021007	1	aside_1	func	EndPose;anim_id=44;pos_name=hero_win	0	0	0	0	0	0	0	2-1队长展示
60021007	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	2-1队长展示2
60030005	1	aside_1	func	EndPose;anim_id=45;pos_name=hero_lose;show_hero_num=1;	0	0	0	0	0	0	0	2-1战斗失败
60030005	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	2-1队长展示2
60021004	1	aside_1	func	BeginAnim;lookat=2;3;easeInOut	0	0	0	0	0	0	0	2-2开场角色展示
60030007	1	aside_1	func	BossDead;350;2000	0	0	0	0	0	0	0	2-2BOSS死亡慢动作
60030007	1	aside_1	func	EndPose;anim_id=44;pos_name=hero_win	0	0	0	0	0	0	0	2-2队长展示
60030007	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	2-2队长展示2
60030006	1	aside_1	func	EndPose;anim_id=45;pos_name=hero_lose;show_hero_num=1;	0	0	0	0	0	0	0	2-2战斗失败
60030006	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	2-2队长展示2
60030008	1	aside_1	func	BeginAnim;lookat=2;3;easeInOut	0	0	0	0	0	0	0	2-3开场角色展示
60030010	1	aside_1	func	EndPose;anim_id=44;pos_name=hero_win	0	0	0	0	0	0	0	2-3队长展示
60030010	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	2-3队长展示2
60030009	1	aside_1	func	EndPose;anim_id=45;pos_name=hero_lose;show_hero_num=1;	0	0	0	0	0	0	0	2-3战斗失败
60030009	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	2-3队长展示2
60030011	1	aside_1	func	BeginAnim;lookat=2;3;easeInOut	0	0	0	0	0	0	0	2-4开场角色展示
60030011	0	aside_1	talk	gs_screenplay.str156	0	0	0	0	0	0	0	2-4旁白：刚回到学校的金木被好友永近英良拉去毒舌学长那儿取资料，没想到学长竟是金木之前在深巷中遇上的喰种西尾锦……在去西尾锦家的路上，锦突然出手袭击英良，英良倒地晕了过去……
60021008	2	aside_2	talk	gs_screenplay.str22	assetbundles/prefabs/ui/image/icon/drama_dh/xiweijin_dh.assetbundle	81300075	0	0	0	0	0	2-4西尾锦：你小子，准备把永近给吃了吧？
60021008	2	aside_2	talk	gs_screenplay.str1000	assetbundles/prefabs/ui/image/icon/drama_dh/xiweijin_dh.assetbundle	81300076	0	0	0	0	0	2-4西尾锦：背叛一直信任自己的笨蛋的那一瞬间，看着他浮现出痛苦的表情，没有比愚蠢人类的绝望姿态更能勾起食欲的了，金木。
60021008	1	aside_1	talk	gs_screenplay.str23	assetbundles/prefabs/ui/image/icon/drama_dh/jinmu_dh5.assetbundle	81300014	0	0	0	0	0	2-4金木研：我…跟你…不一样……
60030013	1	aside_1	func	BossDead;350;2000	0	0	0	0	0	0	0	2-4BOSS死亡慢动作
60030013	1	aside_1	func	EndPose;anim_id=44;pos_name=hero_win	0	0	0	0	0	0	0	2-4队长展示
60030012	1	aside_1	func	EndPose;anim_id=45;pos_name=hero_lose;show_hero_num=1;	0	0	0	0	0	0	0	2-4战斗失败
60030014	1	aside_1	func	BeginAnim;lookat=2;3;easeInOut	0	0	0	0	0	0	0	2-5开场角色展示
60030016	1	aside_1	func	BossDead;350;2000	0	0	0	0	0	0	0	2-5BOSS死亡慢动作
60030016	1	aside_1	func	EndPose;anim_id=44;pos_name=hero_win	0	0	0	0	0	0	0	2-5队长展示
60030016	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	2-5队长展示2
60030015	1	aside_1	func	EndPose;anim_id=45;pos_name=hero_lose;show_hero_num=1;	0	0	0	0	0	0	0	2-5战斗失败
60030015	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	2-5队长展示2
60030017	1	aside_1	func	BeginAnim;lookat=2;3;easeInOut	0	0	0	0	0	0	0	2-6开场角色展示
60030019	1	aside_1	func	BossDead;350;2000	0	0	0	0	0	0	0	2-6BOSS死亡慢动作
60030019	1	aside_1	func	EndPose;anim_id=44;pos_name=hero_win	0	0	0	0	0	0	0	2-6队长展示
60030019	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	2-6队长展示2
60030018	1	aside_1	func	EndPose;anim_id=45;pos_name=hero_lose;show_hero_num=1;	0	0	0	0	0	0	0	2-6战斗失败
60030018	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	2-6队长展示2
60021009	1	aside_1	func	BeginAnim;lookat=2;3;easeInOut	0	0	0	0	0	0	0	2-7开场角色展示
60030020	1	aside_1	func	BossShow;boss=31000090;anim_id=32	0	0	0	0	0	0	0	2-7BOSS展示
60030020	1	aside_1	func	PlayBossShowUI	0	0	0	0	0	0	0	2-7BOSS展示名字和描述
60030020	1	aside_1	func	BossAnimEnd	0	0	0	0	0	0	0	2-7BOSS展示结束
60030020	0	aside_2	talk	gs_screenplay.str157	0	0	0	0	0	0	0	2-7旁白：饱受饥饿苦楚的金木看着满身是血倒地不醒的永近，终于崩溃……正当金木准备吃掉永近时，董香突然出现……
60030020	2	aside_1	talk	gs_screenplay.str24	assetbundles/prefabs/ui/image/icon/drama_dh/wudaodongxiang_dh.assetbundle	81300103	0	0	0	0	0	2-7雾岛董香：已经连朋友的性命都无所谓了？我说你啊，吃完这家伙之后，肯定会后悔的。
60030020	2	aside_1	talk	gs_screenplay.str1001	assetbundles/prefabs/ui/image/icon/drama_dh/wudaodongxiang_dh.assetbundle	81300104	0	0	0	0	0	2-7雾岛董香：在血和内脏汇成的海里，那就是喰种的饥饿，就是我们的命运……
60030020	2	aside_1	talk	gs_screenplay.str1002	assetbundles/prefabs/ui/image/icon/drama_dh/wudaodongxiang_dh.assetbundle	81300105	0	0	0	0	0	2-7雾岛董香：我已经厌倦了，这次就同情一下你，乖乖受死吧！
60030022	1	aside_1	func	BossDead;350;2000	0	0	0	0	0	0	0	2-7BOSS死亡慢动作
60030022	1	aside_1	func	EndPose;anim_id=44;pos_name=hero_win	0	0	0	0	0	0	0	2-7队长展示
60030022	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	2-7队长展示2
60030021	1	aside_1	func	EndPose;anim_id=45;pos_name=hero_lose;show_hero_num=1;	0	0	0	0	0	0	0	2-7战斗失败
60030021	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	2-7队长展示2
60030023	1	aside_1	func	BeginAnim;lookat=2;3;easeInOut	0	0	0	0	0	0	0	3-1开场角色展示
60030023	0	aside_1	talk	gs_screenplay.str158	0	0	0	0	0	0	0	3-1旁白：董香打晕陷入疯狂的金木后，将昏迷的金木和永近带回安定区的途中却遇到了小麻烦……
60030025	1	aside_1	func	BossDead;350;2000	0	0	0	0	0	0	0	3-1BOSS死亡慢动作
60030025	1	aside_1	func	EndPose;anim_id=44;pos_name=hero_win	0	0	0	0	0	0	0	3-1队长展示
60030025	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	3-1队长展示2
60030024	1	aside_1	func	EndPose;anim_id=45;pos_name=hero_lose;show_hero_num=1;	0	0	0	0	0	0	0	3-1战斗失败
60030024	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	3-1队长展示2
60030026	1	aside_1	func	BeginAnim;lookat=2;3;easeInOut	0	0	0	0	0	0	0	3-2开场角色展示
60030028	1	aside_1	func	BossDead;350;2000	0	0	0	0	0	0	0	3-2BOSS死亡慢动作
60030028	1	aside_1	func	EndPose;anim_id=44;pos_name=hero_win	0	0	0	0	0	0	0	3-2队长展示
60030028	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	3-2队长展示2
60030027	1	aside_1	func	EndPose;anim_id=45;pos_name=hero_lose;show_hero_num=1;	0	0	0	0	0	0	0	3-2战斗失败
60030027	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	3-2队长展示2
60030029	1	aside_1	func	BeginAnim;lookat=2;3;easeInOut	0	0	0	0	0	0	0	3-3开场角色展示
60030031	1	aside_1	func	BossDead;350;2000	0	0	0	0	0	0	0	3-3BOSS死亡慢动作
60030031	1	aside_1	func	EndPose;anim_id=44;pos_name=hero_win	0	0	0	0	0	0	0	3-3队长展示
60030031	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	3-3队长展示2
60030030	1	aside_1	func	EndPose;anim_id=45;pos_name=hero_lose;show_hero_num=1;	0	0	0	0	0	0	0	3-3战斗失败
60030030	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	3-3队长展示2
60030032	1	aside_1	func	BeginAnim;lookat=2;3;easeInOut	0	0	0	0	0	0	0	3-4开场角色展示
60031010	1	aside_1	func	BossShow;boss=31000130;anim_id=972	0	0	0	0	0	0	0	3-4BOSS展示
60031010	1	aside_1	func	PlayBossShowUI	0	0	0	0	0	0	0	3-4BOSS展示名字和描述
60031010	1	aside_1	func	BossAnimEnd	0	0	0	0	0	0	0	3-4BOSS展示结束
60031010	1	aside_1	talk	gs_screenplay.str25	assetbundles/prefabs/ui/image/icon/drama_dh/jinmu_dh7.assetbundle	81300061	0	0	0	0	0	3-4金木研：我，不想伤害朋友，所以，我已经不能再和英在一起了。
60031010	1	aside_1	talk	gs_screenplay.str1003	assetbundles/prefabs/ui/image/icon/drama_dh/jinmu_dh7.assetbundle	81300062	0	0	0	0	0	3-4金木研：但是，我也无法进入喰种的世界……既不是人类，也不是喰种，我孑然一身，再也没有我的容身之处了。
60031010	2	aside_2	talk	gs_screenplay.str26	assetbundles/prefabs/ui/image/icon/drama_dh/fangcungongshan_dh.assetbundle	81300115	0	0	0	0	0	3-4芳村：不是那样的，你既是喰种，也是人类，在两个世界都拥有自己的一席之地，除你之外别无他人。
60031010	2	aside_2	talk	gs_screenplay.str1004	assetbundles/prefabs/ui/image/icon/drama_dh/fangcungongshan_dh.assetbundle	81300116	0	0	0	0	0	3-4芳村：来Antique吧，这样你也可以找到守护自己容身之所的方法。
60021010	1	aside_1	func	BossDead;350;2000	0	0	0	0	0	0	0	3-4BOSS死亡慢动作
60021010	1	aside_1	talk	gs_screenplay.str159	0	0	0	0	0	0	0	3-4旁白：“既是喰种，也是人类”店长的话似乎使金木明白了什么，他要在这两个世界中找到自己那一席之地！
60021010	1	aside_1	func	EndPose;anim_id=44;pos_name=hero_win	0	0	0	0	0	0	0	3-4队长展示
60021010	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	3-4队长展示2
60030033	1	aside_1	func	EndPose;anim_id=45;pos_name=hero_lose;show_hero_num=1;	0	0	0	0	0	0	0	3-4战斗失败
60030033	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	3-4队长展示2
60030036	1	aside_1	func	EndPose;anim_id=44;pos_name=hero_win	0	0	0	0	0	0	0	3-5队长展示
60030036	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	3-5队长展示2
60030035	1	aside_1	func	EndPose;anim_id=45;pos_name=hero_lose;show_hero_num=1;	0	0	0	0	0	0	0	3-5战斗失败
60030035	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	3-5队长展示2
60030037	1	aside_1	func	BeginAnim;lookat=2;3;easeInOut	0	0	0	0	0	0	0	3-6开场角色展示
60030039	1	aside_1	func	BossDead;350;2000	0	0	0	0	0	0	0	3-6BOSS死亡慢动作
60030039	1	aside_1	func	EndPose;anim_id=44;pos_name=hero_win	0	0	0	0	0	0	0	3-6队长展示
60030039	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	3-6队长展示2
60030038	1	aside_1	func	EndPose;anim_id=45;pos_name=hero_lose;show_hero_num=1;	0	0	0	0	0	0	0	3-6战斗失败
60030038	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	3-6队长展示2
60021011	1	aside_1	func	BeginAnim;lookat=2;3;easeInOut	0	0	0	0	0	0	0	3-7开场角色展示
60021011	0	aside_2	talk	gs_screenplay.str27	0	0	0	0	0	0	0	3-7旁白：芳村店长委托金木和四方莲示一起去为安定区置办食材，四方莲示和金木来到一悬崖处……
60021011	1	aside_1	talk	gs_screenplay.str28	assetbundles/prefabs/ui/image/icon/drama_dh/jinmu_dh5.assetbundle	81300016	0	0	0	0	0	3-7金木研：古…古董的人们，选择自杀者来吃？
60021012	1	aside_1	func	BossDead;350;2000	0	0	0	0	0	0	0	3-7BOSS死亡慢动作
60021012	1	aside_1	func	EndPose;anim_id=44;pos_name=hero_win	0	0	0	0	0	0	0	3-7队长展示
60021012	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	3-7队长展示2
60030041	1	aside_1	func	EndPose;anim_id=45;pos_name=hero_lose;show_hero_num=1;	0	0	0	0	0	0	0	3-7战斗失败
60030041	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	3-7队长展示2
60021013	1	aside_1	func	BeginAnim;lookat=2;3;easeInOut	0	0	0	0	0	0	0	4-1开场角色展示
60021013	0	aside_1	talk	gs_screenplay.str160	0	0	0	0	0	0	0	4-1旁白：一次CCG总部定期会议后，搜查官真户、亚门以利世和杰森战斗后留下的喰种医疗器械为线索，开始在20区的喰种中进行深入调查和清扫行动……
60031013	1	aside_1	func	BossShow;boss=31000170;anim_id=656	0	0	0	0	0	0	0	4-1BOSS展示
60031013	1	aside_1	func	PlayBossShowUI	0	0	0	0	0	0	0	4-1BOSS展示名字和描述
60031013	1	aside_1	func	BossAnimEnd	0	0	0	0	0	0	0	4-1BOSS展示结束
60031013	2	aside_1	talk	gs_screenplay.str29	assetbundles/prefabs/ui/image/icon/drama_dh/zhenhuwuxu_dh.assetbundle	81300119	0	0	0	0	0	4-1真户吴绪：那么，这只杂碎又会给我们引见怎样的杂碎呢？
60030043	1	aside_1	func	BossDead;350;2000	0	0	0	0	0	0	0	4-1BOSS死亡慢动作
60030043	1	aside_1	func	EndPose;anim_id=44;pos_name=hero_win	0	0	0	0	0	0	0	4-1队长展示
60030043	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	4-1队长展示2
60030042	1	aside_1	func	EndPose;anim_id=45;pos_name=hero_lose;show_hero_num=1;	0	0	0	0	0	0	0	4-1战斗失败
60030042	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	4-1队长展示2
60030044	1	aside_1	func	BeginAnim;lookat=2;3;easeInOut	0	0	0	0	0	0	0	4-2开场角色展示
60030046	1	aside_1	func	BossDead;350;2000	0	0	0	0	0	0	0	4-2BOSS死亡慢动作
60030046	1	aside_1	func	EndPose;anim_id=44;pos_name=hero_win	0	0	0	0	0	0	0	4-2队长展示
60030046	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	4-2队长展示2
60030045	1	aside_1	func	EndPose;anim_id=45;pos_name=hero_lose;show_hero_num=1;	0	0	0	0	0	0	0	4-2战斗失败
60030045	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	4-2队长展示2
60030047	1	aside_1	func	BeginAnim;lookat=2;3;easeInOut	0	0	0	0	0	0	0	4-3开场角色展示
60030049	1	aside_1	func	EndPose;anim_id=44;pos_name=hero_win	0	0	0	0	0	0	0	4-3队长展示
60030049	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	4-3队长展示2
60030048	1	aside_1	func	EndPose;anim_id=45;pos_name=hero_lose;show_hero_num=1;	0	0	0	0	0	0	0	4-3战斗失败
60030048	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	4-3队长展示2
60021014	1	aside_1	func	BeginAnim;lookat=2;3;easeInOut	0	0	0	0	0	0	0	4-4开场角色展示
60021014	1	aside_1	talk	gs_screenplay.str30	assetbundles/prefabs/ui/image/icon/drama_dh/fangcungongshan_dh.assetbundle	81300108	0	0	0	0	0	4-4芳村：董香，你明天能陪金木君去订做面具吗？
60021014	2	aside_2	talk	gs_screenplay.str31	assetbundles/prefabs/ui/image/icon/drama_dh/wudaodongxiang_dh1.assetbundle	81300082	0	0	0	0	0	4-4雾岛董香：什么？难得的休息天，凭什么我要特意陪这家伙
60021014	1	aside_1	talk	gs_screenplay.str32	assetbundles/prefabs/ui/image/icon/drama_dh/fangcungongshan_dh.assetbundle	81300109	0	0	0	0	0	4-4芳村：董香，20区来了两名搜查官，已经有人被害了！
60030051	1	aside_1	func	BossDead;350;2000	0	0	0	0	0	0	0	4-4BOSS死亡慢动作
60030051	1	aside_1	func	EndPose;anim_id=44;pos_name=hero_win	0	0	0	0	0	0	0	4-4队长展示
60030051	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	4-4队长展示2
60030050	1	aside_1	func	EndPose;anim_id=45;pos_name=hero_lose;show_hero_num=1;	0	0	0	0	0	0	0	4-4战斗失败
60030050	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	4-4队长展示2
60030054	1	aside_1	func	BossDead;350;2000	0	0	0	0	0	0	0	4-5BOSS死亡慢动作
60030054	1	aside_1	func	EndPose;anim_id=44;pos_name=hero_win	0	0	0	0	0	0	0	4-5队长展示
60030054	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	4-5队长展示2
60030053	1	aside_1	func	EndPose;anim_id=45;pos_name=hero_lose;show_hero_num=1;	0	0	0	0	0	0	0	4-5战斗失败
60030053	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	4-5队长展示2
60030055	1	aside_1	func	BeginAnim;lookat=2;3;easeInOut	0	0	0	0	0	0	0	4-6开场角色展示
60030057	1	aside_1	func	BossDead;350;2000	0	0	0	0	0	0	0	4-6BOSS死亡慢动作
60030057	1	aside_1	func	EndPose;anim_id=44;pos_name=hero_win	0	0	0	0	0	0	0	4-6队长展示
60030057	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	4-6队长展示2
60030056	1	aside_1	func	EndPose;anim_id=45;pos_name=hero_lose;show_hero_num=1;	0	0	0	0	0	0	0	4-6战斗失败
60030056	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	4-6队长展示2
60030058	1	aside_1	func	BeginAnim;lookat=2;3;easeInOut	0	0	0	0	0	0	0	4-7开场角色展示
60030058	0	aside_1	talk	gs_screenplay.str161	0	0	0	0	0	0	0	4-7旁白：休息日，董香带着金木来到一家面具店，可始终没见到店主的身影……
60021015	1	aside_1	func	BossShow;boss=31000230;anim_id=946	0	0	0	0	0	0	0	4-7BOSS展示
60021015	1	aside_1	func	PlayBossShowUI	0	0	0	0	0	0	0	4-7BOSS展示名字和描述
60021015	1	aside_1	func	BossAnimEnd	0	0	0	0	0	0	0	4-7BOSS展示结束
60021016	1	aside_1	func	BossDead;350;2000	0	0	0	0	0	0	0	4-7BOSS死亡慢动作
60021016	1	aside_1	talk	gs_screenplay.str35	assetbundles/prefabs/ui/image/icon/drama_dh/wudaodongxiang_dh2.assetbundle	81300083	0	0	0	0	0	4-7雾岛董香：你在干什么呀，诗先生
60021016	2	aside_2	talk	gs_screenplay.str36	assetbundles/prefabs/ui/image/icon/drama_dh/shi_dh.assetbundle	81300177	0	0	0	0	0	4-7诗：我就是想吓吓你们
60021016	1	aside_1	func	EndPose;anim_id=44;pos_name=hero_win	0	0	0	0	0	0	0	4-7队长展示
60021016	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	4-7队长展示2
60030059	1	aside_1	func	EndPose;anim_id=45;pos_name=hero_lose;show_hero_num=1;	0	0	0	0	0	0	0	4-7战斗失败
60030059	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	4-7队长展示2
60021018	1	aside_1	func	BeginAnim;lookat=2;3;easeInOut	0	0	0	0	0	0	0	5-1开场角色展示
60021018	2	aside_2	talk	gs_screenplay.str37	assetbundles/prefabs/ui/image/icon/drama_dh/yueshanxi_dh.assetbundle	81300266	0	0	0	0	0	5-1月山习：戴眼罩的男孩，是新来的吧，你叫什么？
60021018	1	aside_1	talk	gs_screenplay.str38	assetbundles/prefabs/ui/image/icon/drama_dh/jinmu_dh4.assetbundle	81300018	0	0	0	0	0	5-1金木研：金…金木
60021018	2	aside_2	talk	gs_screenplay.str39	assetbundles/prefabs/ui/image/icon/drama_dh/yueshanxi_dh.assetbundle	81300267	0	0	0	0	0	5-1月山习：真是不可思议的香味
60021019	1	aside_1	func	BossDead;350;2000	0	0	0	0	0	0	0	5-1BOSS死亡慢动作
60021019	2	aside_2	talk	gs_screenplay.str40	assetbundles/prefabs/ui/image/icon/drama_dh/yueshanxi_dh.assetbundle	81300268	0	0	0	0	0	5-1月山习：我下次再来悠闲地喝咖啡哦
60021019	1	aside_1	talk	gs_screenplay.str41	assetbundles/prefabs/ui/image/icon/drama_dh/jinmu_dh4.assetbundle	81300019	0	0	0	0	0	5-1金木研：好…
60021019	1	aside_1	func	EndPose;anim_id=44;pos_name=hero_win	0	0	0	0	0	0	0	5-1队长展示
60021019	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	5-1队长展示2
60030060	1	aside_1	func	EndPose;anim_id=45;pos_name=hero_lose;show_hero_num=1;	0	0	0	0	0	0	0	5-1战斗失败
60030060	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	5-1队长展示2
60030061	1	aside_1	func	BeginAnim;lookat=2;3;easeInOut	0	0	0	0	0	0	0	5-2开场角色展示
60030063	1	aside_1	func	BossDead;350;2000	0	0	0	0	0	0	0	5-2BOSS死亡慢动作
60030063	1	aside_1	func	EndPose;anim_id=44;pos_name=hero_win	0	0	0	0	0	0	0	5-2队长展示
60030063	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	5-2队长展示2
60030062	1	aside_1	func	EndPose;anim_id=45;pos_name=hero_lose;show_hero_num=1;	0	0	0	0	0	0	0	5-2战斗失败
60030062	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	5-2队长展示2
60030064	1	aside_1	func	BeginAnim;lookat=2;3;easeInOut	0	0	0	0	0	0	0	5-3开场角色展示
60030066	1	aside_1	func	BossDead;350;2000	0	0	0	0	0	0	0	5-3BOSS死亡慢动作
60030066	1	aside_1	func	EndPose;anim_id=44;pos_name=hero_win	0	0	0	0	0	0	0	5-3队长展示
60030066	1	aside_1	func	EndPoseFinish	0	0	0	0	0	0	0	5-3队长展示2
60030065	1	aside_1	func	EndPose;anim_id=45;pos_name=hero_lose;show_hero_num=1;	0	0	0	0	0	0	0	5-3战斗失败
